# Command: bash -c lsof -nP 2>/dev/null | head -n 200 || true
# Date: Thu Jan 29 09:23:31 CST 2026

COMMAND     PID     USER   FD      TYPE             DEVICE      SIZE/OFF                NODE NAME
loginwind   585 patopina  cwd       DIR               1,16           704                   2 /
loginwind   585 patopina  txt       REG               1,16       3155872 1152921500312102592 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
loginwind   585 patopina  txt       REG               1,16         73840             8400197 /Library/Preferences/Logging/.plist-cache.Mge4C6lV
loginwind   585 patopina  txt       REG               1,14        476704               77507 /System/Volumes/Preboot/Cryptexes/OS/usr/lib/libLaunchServicesSupport.dylib
loginwind   585 patopina  txt       REG               1,16           688 1152921500312102621 /System/Library/CoreServices/loginwindow.app/Contents/Resources/InfoPlist.loctable
loginwind   585 patopina  txt       REG               1,16           110 1152921500312100234 /System/Library/CoreServices/SystemVersion.bundle/English.lproj/SystemVersion.strings
loginwind   585 patopina  txt       REG               1,16        137016 1152921500312099923 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/SystemAppearance.car
loginwind   585 patopina  txt       REG               1,16        193408 1152921500312213364 /System/Library/LoginPlugins/FSDisconnect.loginPlugin/Contents/MacOS/FSDisconnect
loginwind   585 patopina  txt       REG               1,16        305376 1152921500312213314 /System/Library/LoginPlugins/DisplayServices.loginPlugin/Contents/MacOS/DisplayServices
loginwind   585 patopina  txt       REG               1,16        255956 1152921500312156903 /System/Library/Frameworks/OpenDirectory.framework/Versions/A/Frameworks/CFOpenDirectory.framework/Versions/A/Resources/Localizable.loctable
loginwind   585 patopina  txt       REG               1,16        249661 1152921500312208398 /System/Library/Keyboard Layouts/AppleKeyboardLayouts.bundle/Contents/Resources/InfoPlist.loctable
loginwind   585 patopina  txt       REG               1,16       2299152 1152921500312563341 /usr/lib/dyld
loginwind   585 patopina  txt       REG               1,16      34147264 1152921500312573805 /usr/share/icu/icudt76l.dat
loginwind   585 patopina  txt       REG               1,16       7912984 1152921500312099884 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/Aqua.car
loginwind   585 patopina  txt       REG               1,16       2976648 1152921500312099912 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/FauxVibrantLight.car
loginwind   585 patopina  txt       REG               1,16       6223976 1152921500312099937 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/VibrantLight.car
loginwind   585 patopina  txt       REG               1,16       1554156 1152921500312208396 /System/Library/Keyboard Layouts/AppleKeyboardLayouts.bundle/Contents/Resources/AppleKeyboardLayouts-L.dat
loginwind   585 patopina  txt       REG               1,16        696555 1152921500312102667 /System/Library/CoreServices/loginwindow.app/Contents/Resources/loginwindow.loctable
loginwind   585 patopina  txt       REG               1,16          4201 1152921500312102619 /System/Library/CoreServices/loginwindow.app/Contents/Resources/ForceQuitPanel.loctable
loginwind   585 patopina  txt       REG               1,16        752384 1152921500312213251 /System/Library/LoginPlugins/BezelServices.loginPlugin/Contents/MacOS/BezelServices
